nmi,quality_method,meter_number,date,unit_of_measure,tariff_description,00:00-00:30,00:30-01:00,01:00-01:30,01:30-02:00,02:00-02:30,02:30-03:00,03:00-03:30,03:30-04:00,04:00-04:30,04:30-05:00,05:00-05:30,05:30-06:00,06:00-06:30,06:30-07:00,07:00-07:30,07:30-08:00,08:00-08:30,08:30-09:00,09:00-09:30,09:30-10:00,10:00-10:30,10:30-11:00,11:00-11:30,11:30-12:00,12:00-12:30,12:30-13:00,13:00-13:30,13:30-14:00,14:00-14:30,14:30-15:00,15:00-15:30,15:30-16:00,16:00-16:30,16:30-17:00,17:00-17:30,17:30-18:00,18:00-18:30,18:30-19:00,19:00-19:30,19:30-20:00,20:00-20:30,20:30-21:00,21:00-21:30,21:30-22:00,22:00-22:30,22:30-23:00,23:00-23:30,23:30-00:00
6203808917,Actual,DZ114328,15/07/2025,kWh,consumption,1.975,1.975,1.988,2.013,0.913,0.863,1.000,1.075,0.988,0.925,0.900,1.863,3.763,2.925,2.113,1.888,1.913,0.450,0.238,0.200,0.163,0.313,0.025,0.013,0.438,0.188,0.288,0.063,0.313,0.163,0.063,0.038,0.013,0.013,0.013,0.050,0.150,0.050,0.950,1.063,1.075,1.063,1.088,2.013,2.200,1.613,1.288,1.288
6203808917,Actual,DZ114328,15/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.025,0.013,0.038,0.088,0.500,0.750,0.225,0.013,0.013,0.113,0.000,0.025,0.063,0.038,0.013,0.000,0.025,0.038,0.038,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,16/07/2025,kWh,consumption,1.288,1.275,1.300,1.275,0.313,0.300,0.325,0.313,0.300,0.300,0.300,1.263,3.013,1.713,1.263,2.150,2.013,0.038,0.013,0.000,0.013,0.000,0.013,0.013,0.338,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.013,0.013,0.000,0.013,0.000,0.013,0.000,0.313,1.325,1.713,1.438,1.338,1.288
6203808917,Actual,DZ114328,16/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.113,0.200,0.225,0.075,0.025,0.013,0.000,0.013,0.013,1.413,0.813,0.425,0.600,0.038,0.013,0.000,0.013,0.000,0.013,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,17/07/2025,kWh,consumption,1.263,1.288,1.288,1.300,0.313,0.313,0.325,0.325,0.313,0.313,0.313,1.263,3.025,2.588,2.388,2.163,2.013,1.113,1.050,1.013,0.838,0.700,0.050,0.025,0.200,0.050,0.288,0.525,0.863,0.925,0.013,0.000,0.013,0.000,0.000,0.338,2.275,1.438,1.463,2.313,3.238,3.350,2.825,3.050,3.825,3.525,3.100,3.075
6203808917,Actual,DZ114328,17/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.013,0.025,0.313,0.025,0.000,0.000,0.000,0.013,0.000,0.013,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,18/07/2025,kWh,consumption,2.975,3.113,3.013,2.963,2.050,2.038,1.625,1.563,1.563,1.513,1.500,2.438,4.150,3.350,2.413,2.363,2.175,1.588,0.763,0.113,0.013,0.088,0.013,0.000,0.025,0.013,0.025,0.063,0.013,0.000,0.000,0.000,0.025,0.050,0.063,0.050,0.063,0.050,0.063,0.050,0.063,0.063,1.038,1.713,1.638,1.663,1.688,2.125
6203808917,Actual,DZ114328,18/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.013,0.000,0.113,0.663,0.163,0.238,0.575,0.088,1.275,1.625,1.200,0.625,0.300,0.050,0.063,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,19/07/2025,kWh,consumption,2.113,2.063,2.038,1.988,1.013,1.000,1.000,1.000,1.425,1.500,1.500,1.475,3.238,3.188,3.188,3.175,3.863,3.450,3.063,2.975,2.950,1.313,0.013,0.013,0.013,0.025,0.225,1.500,1.800,1.588,0.013,0.000,0.013,0.675,1.275,1.275,1.275,1.275,1.375,1.875,1.625,1.600,1.300,1.288,0.988,0.313,0.350,0.388
6203808917,Actual,DZ114328,19/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.013,0.025,0.038,0.288,0.000,0.000,0.000,0.013,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
